type,diagnosis_code,diagnosis_description
icd10,H75,Other disorders of middle ear and mastoid in diseases classified elsewhere
icd10,H80,Otosclerosis
icd10,H81,Disorders of vestibular function
icd10,H82,Vertiginous syndromes in diseases classified elsewhere
icd10,H83,Other diseases of inner ear
icd10,H90,Conductive and sensorineural hearing loss
icd10,H91,Other hearing loss
icd10,H92,Otalgia and effusion of ear
icd10,H93,"Other disorders of ear, not elsewhere classified"
icd10,H94,Other disorders of ear in diseases classified elsewhere
icd10,H95,"Postprocedural disorders of ear and mastoid process, not elsewhere classified"
icd10,I00,Rheumatic fever without mention of heart involvement
icd10,I01,Rheumatic fever with heart involvement
icd10,I02,Rheumatic chorea
icd10,I05,Rheumatic mitral valve diseases
icd10,I06,Rheumatic aortic valve diseases
icd10,I07,Rheumatic tricuspid valve diseases
icd10,I08,Multiple valve diseases
icd10,I09,Other rheumatic heart diseases
icd10,I10,Essential (primary) hypertension
icd10,I11,Hypertensive heart disease
icd10,I12,Hypertensive renal disease
icd10,I13,Hypertensive heart and renal disease
icd10,I15,Secondary hypertension
icd10,I20,Angina pectoris
icd10,I21,Acute myocardial infarction
icd10,I22,Subsequent myocardial infarction
icd10,I23,Certain current complications following acute myocardial infarction
icd10,I24,Other acute ischaemic heart diseases
icd10,I25,Chronic ischaemic heart disease
icd10,I26,Pulmonary embolism
icd10,I27,Other pulmonary heart diseases
icd10,I28,Other diseases of pulmonary vessels
icd10,I30,Acute pericarditis
icd10,I31,Other diseases of pericardium
icd10,I32,Pericarditis in diseases classified elsewhere
icd10,I33,Acute and subacute endocarditis
icd10,I34,Nonrheumatic mitral valve disorders
icd10,I35,Nonrheumatic aortic valve disorders
icd10,I36,Nonrheumatic tricuspid valve disorders
icd10,I37,Pulmonary valve disorders
icd10,I38,"Endocarditis, valve unspecified"
icd10,I39,Endocarditis and heart valve disorders in diseases classified elsewhere
icd10,I40,Acute myocarditis
icd10,I41,Myocarditis in diseases classified elsewhere
icd10,I42,Cardiomyopathy
icd10,I43,Cardiomyopathy in diseases classified elsewhere
icd10,I44,Atrioventricular and left bundle-branch block
icd10,I45,Other conduction disorders
icd10,I46,Cardiac arrest
icd10,I47,Paroxysmal tachycardia
icd10,I48,Atrial fibrillation and flutter
icd10,I49,Other cardiac arrhythmias
icd10,I50,Heart failure
icd10,I51,Complications and ill-defined descriptions of heart disease
icd10,I52,Other heart disorders in diseases classified elsewhere
icd10,I60,Subarachnoid haemorrhage
icd10,I61,Intracerebral haemorrhage
icd10,I62,Other nontraumatic intracranial haemorrhage
icd10,I63,Cerebral infarction
icd10,I64,"Stroke, not specified as haemorrhage or infarction"
icd10,I65,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction"
icd10,I66,"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction"
icd10,I67,Other cerebrovascular diseases
icd10,I68,Cerebrovascular disorders in diseases classified elsewhere
icd10,I69,Sequelae of cerebrovascular disease
icd10,I70,Atherosclerosis
icd10,I71,Aortic aneurysm and dissection
icd10,I72,Other aneurysm and dissection
icd10,I73,Other peripheral vascular diseases
icd10,I74,Arterial embolism and thrombosis
icd10,I77,Other disorders of arteries and arterioles
icd10,I78,Diseases of capillaries
icd10,I79,"Disorders of arteries, arterioles and capillaries in diseases classified elsewhere"
icd10,I80,Phlebitis and thrombophlebitis
icd10,I81,Portal vein thrombosis
icd10,I82,Other venous embolism and thrombosis
icd10,I83,Varicose veins of lower extremities
icd10,I84,Haemorrhoids
icd10,I85,Oesophageal varices
icd10,I86,Varicose veins of other sites
icd10,I87,Other disorders of veins
icd10,I88,Nonspecific lymphadenitis
icd10,I89,Other noninfective disorders of lymphatic vessels and lymph nodes
icd10,I95,Hypotension
icd10,I97,"Postprocedural disorders of circulatory system, not elsewhere classified"
icd10,I98,Other disorders of circulatory system in diseases classified elsewhere
icd10,I99,Other and unspecified disorders of circulatory system
icd10,J00,Acute nasopharyngitis [common cold]
icd10,J01,Acute sinusitis
icd10,J02,Acute pharyngitis
icd10,J03,Acute tonsillitis
icd10,J04,Acute laryngitis and tracheitis
icd10,J05,Acute obstructive laryngitis [croup] and epiglottitis
icd10,J06,Acute upper respiratory infections of multiple and unspecified sites
icd10,J09,Influenza due to identified zoonotic or pandemic influenza virus
icd10,J10,Influenza due to identified seasonal influenza virus
icd10,J11,"Influenza, virus not identified"
icd10,J12,"Viral pneumonia, not elsewhere classified"
icd10,J13,Pneumonia due to Streptococcus pneumoniae
icd10,J14,Pneumonia due to Haemophilus influenzae
icd10,J15,"Bacterial pneumonia, not elsewhere classified"
icd10,J16,"Pneumonia due to other infectious organisms, not elsewhere classified"
icd10,J17,Pneumonia in diseases classified elsewhere
icd10,J18,"Pneumonia, organism unspecified"
icd10,J20,Acute bronchitis
icd10,J21,Acute bronchiolitis
icd10,J22,Unspecified acute lower respiratory infection
icd10,J30,Vasomotor and allergic rhinitis
icd10,J31,"Chronic rhinitis, nasopharyngitis and pharyngitis"
icd10,J32,Chronic sinusitis
icd10,J33,Nasal polyp
icd10,J34,Other disorders of nose and nasal sinuses
icd10,J35,Chronic diseases of tonsils and adenoids
icd10,J36,Peritonsillar abscess
icd10,J37,Chronic laryngitis and laryngotracheitis
icd10,J38,"Diseases of vocal cords and larynx, not elsewhere classified"
icd10,J39,Other diseases of upper respiratory tract
icd10,J40,"Bronchitis, not specified as acute or chronic"
icd10,J41,Simple and mucopurulent chronic bronchitis
icd10,J42,Unspecified chronic bronchitis
icd10,J43,Emphysema
icd10,J44,Other chronic obstructive pulmonary disease
icd10,J45,Asthma
icd10,J46,Status asthmaticus
icd10,J47,Bronchiectasis
icd10,J60,Coalworker pneumoconiosis
icd10,J61,Pneumoconiosis due to asbestos and other mineral fibres
icd10,J62,Pneumoconiosis due to dust containing silica
icd10,J63,Pneumoconiosis due to other inorganic dusts
icd10,J64,Unspecified pneumoconiosis
icd10,J65,Pneumoconiosis associated with tuberculosis
icd10,J66,Airway disease due to specific organic dust
icd10,J67,Hypersensitivity pneumonitis due to organic dust
icd10,J68,"Respiratory conditions due to inhalation of chemicals, gases, fumes and vapours"
icd10,J69,Pneumonitis due to solids and liquids
icd10,J70,Respiratory conditions due to other external agents
icd10,J80,Adult respiratory distress syndrome
icd10,J81,Pulmonary oedema
icd10,J82,"Pulmonary eosinophilia, not elsewhere classified"
icd10,J84,Other interstitial pulmonary diseases
icd10,J85,Abscess of lung and mediastinum
icd10,J86,Pyothorax
icd10,J90,"Pleural effusion, not elsewhere classified"
icd10,J91,Pleural effusion in conditions classified elsewhere
icd10,J92,Pleural plaque
icd10,J93,Pneumothorax
icd10,J94,Other pleural conditions
icd10,J95,"Postprocedural respiratory disorders, not elsewhere classified"
icd10,J96,"Respiratory failure, not elsewhere classified"
icd10,J98,Other respiratory disorders
icd10,J99,Respiratory disorders in diseases classified elsewhere
icd10,K00,Disorders of tooth development and eruption
icd10,K01,Embedded and impacted teeth
icd10,K02,Dental caries
icd10,K03,Other diseases of hard tissues of teeth
icd10,K04,Diseases of pulp and periapical tissues
icd10,K05,Gingivitis and periodontal diseases
icd10,K06,Other disorders of gingiva and edentulous alveolar ridge
icd10,K07,Dentofacial anomalies [including malocclusion]
icd10,K08,Other disorders of teeth and supporting structures
icd10,K09,"Cysts of oral region, not elsewhere classified"
icd10,K10,Other diseases of jaws
icd10,K11,Diseases of salivary glands
icd10,K12,Stomatitis and related lesions
icd10,K13,Other diseases of lip and oral mucosa
icd10,K14,Diseases of tongue
icd10,K20,Oesophagitis
icd10,K21,Gastro-oesophageal reflux disease
icd10,K22,Other diseases of oesophagus
icd10,K23,Disorders of oesophagus in diseases classified elsewhere
icd10,K25,Gastric ulcer
icd10,K26,Duodenal ulcer
icd10,K27,"Peptic ulcer, site unspecified"
icd10,K28,Gastrojejunal ulcer
icd10,K29,Gastritis and duodenitis
icd10,K30,Functional dyspepsia
icd10,K31,Other diseases of stomach and duodenum
icd10,K35,Acute appendicitis
icd10,K36,Other appendicitis
icd10,K37,Unspecified appendicitis
icd10,K38,Other diseases of appendix
icd10,K40,Inguinal hernia
icd10,K41,Femoral hernia
icd10,K42,Umbilical hernia
icd10,K43,Ventral hernia
icd10,K44,Diaphragmatic hernia
icd10,K45,Other abdominal hernia
icd10,K46,Unspecified abdominal hernia
icd10,K50,Crohn disease [regional enteritis]
icd10,K51,Ulcerative colitis
icd10,K52,Other noninfective gastroenteritis and colitis
icd10,K55,Vascular disorders of intestine
icd10,K56,Paralytic ileus and intestinal obstruction without hernia
icd10,K57,Diverticular disease of intestine
icd10,K58,Irritable bowel syndrome
icd10,K59,Other functional intestinal disorders
icd10,K60,Fissure and fistula of anal and rectal regions
icd10,K61,Abscess of anal and rectal regions
icd10,K62,Other diseases of anus and rectum
icd10,K63,Other diseases of intestine
icd10,K64,Haemorrhoids and perianal venous thrombosis
icd10,K65,Peritonitis
icd10,K66,Other disorders of peritoneum
icd10,K67,Disorders of peritoneum in infectious diseases classified elsewhere
icd10,K70,Alcoholic liver disease
icd10,K71,Toxic liver disease
icd10,K72,"Hepatic failure, not elsewhere classified"
icd10,K73,"Chronic hepatitis, not elsewhere classified"
icd10,K74,Fibrosis and cirrhosis of liver
icd10,K75,Other inflammatory liver diseases
icd10,K76,Other diseases of liver
icd10,K77,Liver disorders in diseases classified elsewhere
icd10,K80,Cholelithiasis
icd10,K81,Cholecystitis
icd10,K82,Other diseases of gallbladder
icd10,K83,Other diseases of biliary tract
icd10,K85,Acute pancreatitis
icd10,K86,Other diseases of pancreas
icd10,K87,"Disorders of gallbladder, biliary tract and pancreas in diseases classified elsewhere"
icd10,K90,Intestinal malabsorption
icd10,K91,"Postprocedural disorders of digestive system, not elsewhere classified"
icd10,K92,Other diseases of digestive system
icd10,K93,Disorders of other digestive organs in diseases classified elsewhere
icd10,L00,Staphylococcal scalded skin syndrome
icd10,L01,Impetigo
icd10,L02,"Cutaneous abscess, furuncle and carbuncle"
icd10,L03,Cellulitis
icd10,L04,Acute lymphadenitis
icd10,L05,Pilonidal cyst
icd10,L08,Other local infections of skin and subcutaneous tissue
icd10,L10,Pemphigus
icd10,L11,Other acantholytic disorders
icd10,L12,Pemphigoid
icd10,L13,Other bullous disorders
icd10,L14,Bullous disorders in diseases classified elsewhere
icd10,L20,Atopic dermatitis
icd10,L21,Seborrhoeic dermatitis
icd10,L22,Diaper [napkin] dermatitis
icd10,L23,Allergic contact dermatitis
icd10,L24,Irritant contact dermatitis
icd10,L25,Unspecified contact dermatitis
icd10,L26,Exfoliative dermatitis
icd10,L27,Dermatitis due to substances taken internally
icd10,L28,Lichen simplex chronicus and prurigo
icd10,L29,Pruritus
icd10,L30,Other dermatitis
icd10,L40,Psoriasis
icd10,L41,Parapsoriasis
icd10,L42,Pityriasis rosea
icd10,L43,Lichen planus
icd10,L44,Other papulosquamous disorders
icd10,L45,Papulosquamous disorders in diseases classified elsewhere
icd10,L50,Urticaria
icd10,L51,Erythema multiforme
icd10,L52,Erythema nodosum
icd10,L53,Other erythematous conditions
icd10,L54,Erythema in diseases classified elsewhere
icd10,L55,Sunburn
icd10,L56,Other acute skin changes due to ultraviolet radiation
icd10,L57,Skin changes due to chronic exposure to nonionizing radiation
icd10,L58,Radiodermatitis
icd10,L59,Other disorders of skin and subcutaneous tissue related to radiation
icd10,L60,Nail disorders
icd10,L62,Nail disorders in diseases classified elsewhere
icd10,L63,Alopecia areata
icd10,L64,Androgenic alopecia
icd10,L65,Other nonscarring hair loss
icd10,L66,Cicatricial alopecia [scarring hair loss]
icd10,L67,Hair colour and hair shaft abnormalities
icd10,L68,Hypertrichosis
icd10,L70,Acne
icd10,L71,Rosacea
icd10,L72,Follicular cysts of skin and subcutaneous tissue
icd10,L73,Other follicular disorders
icd10,L74,Eccrine sweat disorders
icd10,L75,Apocrine sweat disorders
icd10,L80,Vitiligo
icd10,L81,Other disorders of pigmentation
icd10,L82,Seborrhoeic keratosis
icd10,L83,Acanthosis nigricans
icd10,L84,Corns and callosities
icd10,L85,Other epidermal thickening
icd10,L86,Keratoderma in diseases classified elsewhere
icd10,L87,Transepidermal elimination disorders
icd10,L88,Pyoderma gangrenosum
icd10,L89,Decubitus ulcer and pressure area
icd10,L90,Atrophic disorders of skin
icd10,L91,Hypertrophic disorders of skin
icd10,L92,Granulomatous disorders of skin and subcutaneous tissue
icd10,L93,Lupus erythematosus
icd10,L94,Other localized connective tissue disorders
icd10,L95,"Vasculitis limited to skin, not elsewhere classified"
icd10,L97,"Ulcer of lower limb, not elsewhere classified"
icd10,L98,"Other disorders of skin and subcutaneous tissue, not elsewhere classified"
icd10,L99,Other disorders of skin and subcutaneous tissue in diseases classified elsewhere
icd10,M00,Pyogenic arthritis
icd10,M01,Direct infections of joint in infectious and parasitic diseases classified elsewhere
icd10,M02,Reactive arthropathies
icd10,M03,Postinfective and reactive arthropathies in diseases classified elsewhere
icd10,M05,Seropositive rheumatoid arthritis
icd10,M06,Other rheumatoid arthritis
icd10,M07,Psoriatic and enteropathic arthropathies
icd10,M08,Juvenile arthritis
icd10,M09,Juvenile arthritis in diseases classified elsewhere
icd10,M10,Gout
icd10,M11,Other crystal arthropathies
icd10,M12,Other specific arthropathies
icd10,M13,Other arthritis
icd10,M14,Arthropathies in other diseases classified elsewhere
icd10,M15,Polyarthrosis
icd10,M16,Coxarthrosis [arthrosis of hip]
icd10,M17,Gonarthrosis [arthrosis of knee]
icd10,M18,Arthrosis of first carpometacarpal joint
icd10,M19,Other arthrosis
icd10,M20,Acquired deformities of fingers and toes
icd10,M21,Other acquired deformities of limbs
icd10,M22,Disorders of patella
icd10,M23,Internal derangement of knee
icd10,M24,Other specific joint derangements
icd10,M25,"Other joint disorders, not elsewhere classified"
icd10,M30,Polyarteritis nodosa and related conditions
icd10,M31,Other necrotizing vasculopathies
icd10,M32,Systemic lupus erythematosus
icd10,M33,Dermatopolymyositis
icd10,M34,Systemic sclerosis
icd10,M35,Other systemic involvement of connective tissue
icd10,M36,Systemic disorders of connective tissue in diseases classified elsewhere
icd10,M40,Kyphosis and lordosis
icd10,M41,Scoliosis
icd10,M42,Spinal osteochondrosis
icd10,M43,Other deforming dorsopathies
icd10,M45,Ankylosing spondylitis
icd10,M46,Other inflammatory spondylopathies
icd10,M47,Spondylosis
icd10,M48,Other spondylopathies
icd10,M49,Spondylopathies in diseases classified elsewhere
icd10,M50,Cervical disc disorders
icd10,M51,Other intervertebral disc disorders
icd10,M53,"Other dorsopathies, not elsewhere classified"
icd10,M54,Dorsalgia
icd10,M60,Myositis
icd10,M61,Calcification and ossification of muscle
icd10,M62,Other disorders of muscle
icd10,M63,Disorders of muscle in diseases classified elsewhere
icd10,M65,Synovitis and tenosynovitis
icd10,M66,Spontaneous rupture of synovium and tendon
icd10,M67,Other disorders of synovium and tendon
icd10,M68,Disorders of synovium and tendon in diseases classified elsewhere
icd10,M70,"Soft tissue disorders related to use, overuse and pressure"
icd10,M71,Other bursopathies
icd10,M72,Fibroblastic disorders
icd10,M73,Soft tissue disorders in diseases classified elsewhere
icd10,M75,Shoulder lesions
icd10,M76,"Enthesopathies of lower limb, excluding foot"
icd10,M77,Other enthesopathies
icd10,M79,"Other soft tissue disorders, not elsewhere classified"
icd10,M80,Osteoporosis with pathological fracture
icd10,M81,Osteoporosis without pathological fracture
icd10,M82,Osteoporosis in diseases classified elsewhere
icd10,M83,Adult osteomalacia
icd10,M84,Disorders of continuity of bone
icd10,M85,Other disorders of bone density and structure
icd10,M86,Osteomyelitis
icd10,M87,Osteonecrosis
icd10,M88,Paget disease of bone [osteitis deformans]
icd10,M89,Other disorders of bone
icd10,M90,Osteopathies in diseases classified elsewhere
icd10,M91,Juvenile osteochondrosis of hip and pelvis
icd10,M92,Other juvenile osteochondrosis
icd10,M93,Other osteochondropathies
icd10,M94,Other disorders of cartilage
icd10,M95,Other acquired deformities of musculoskeletal system and connective tissue
icd10,M96,"Postprocedural musculoskeletal disorders, not elsewhere classified"
icd10,M99,"Biomechanical lesions, not elsewhere classified"
icd10,N00,Acute nephritic syndrome
icd10,N01,Rapidly progressive nephritic syndrome
icd10,N02,Recurrent and persistent haematuria
icd10,N03,Chronic nephritic syndrome
icd10,N04,Nephrotic syndrome
icd10,N05,Unspecified nephritic syndrome
icd10,N06,Isolated proteinuria with specified morphological lesion
icd10,N07,"Hereditary nephropathy, not elsewhere classified"
icd10,N08,Glomerular disorders in diseases classified elsewhere
icd10,N10,Acute tubulo-interstitial nephritis
icd10,N11,Chronic tubulo-interstitial nephritis
icd10,N12,"Tubulo-interstitial nephritis, not specified as acute or chronic"
icd10,N13,Obstructive and reflux uropathy
icd10,N14,Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions
icd10,N15,Other renal tubulo-interstitial diseases
icd10,N16,Renal tubulo-interstitial disorders in diseases classified elsewhere
icd10,N17,Acute renal failure
icd10,N18,Chronic kidney disease
icd10,N19,Unspecified kidney failure
icd10,N20,Calculus of kidney and ureter
icd10,N21,Calculus of lower urinary tract
icd10,N22,Calculus of urinary tract in diseases classified elsewhere
icd10,N23,Unspecified renal colic
icd10,N25,Disorders resulting from impaired renal tubular function
icd10,N26,Unspecified contracted kidney
icd10,N27,Small kidney of unknown cause
icd10,N28,"Other disorders of kidney and ureter, not elsewhere classified"
icd10,N29,Other disorders of kidney and ureter in diseases classified elsewhere
icd10,N30,Cystitis
icd10,N31,"Neuromuscular dysfunction of bladder, not elsewhere classified"
icd10,N32,Other disorders of bladder
icd10,N33,Bladder disorders in diseases classified elsewhere
icd10,N34,Urethritis and urethral syndrome
icd10,N35,Urethral stricture
icd10,N36,Other disorders of urethra
icd10,N37,Urethral disorders in diseases classified elsewhere
icd10,N39,Other disorders of urinary system
icd10,N40,Hyperplasia of prostate
icd10,N41,Inflammatory diseases of prostate
icd10,N42,Other disorders of prostate
icd10,N43,Hydrocele and spermatocele
icd10,N44,Torsion of testis
icd10,N45,Orchitis and epididymitis
icd10,N46,Male infertility
icd10,N47,"Redundant prepuce, phimosis and paraphimosis"
icd10,N48,Other disorders of penis
icd10,N49,"Inflammatory disorders of male genital organs, not elsewhere classified"
icd10,N50,Other disorders of male genital organs
icd10,N51,Disorders of male genital organs in diseases classified elsewhere
icd10,N60,Benign mammary dysplasia
icd10,N61,Inflammatory disorders of breast
icd10,N62,Hypertrophy of breast
icd10,N63,Unspecified lump in breast
icd10,N64,Other disorders of breast
icd10,N70,Salpingitis and oophoritis
icd10,N71,"Inflammatory disease of uterus, except cervix"
icd10,N72,Inflammatory disease of cervix uteri
icd10,N73,Other female pelvic inflammatory diseases
icd10,N74,Female pelvic inflammatory disorders in diseases classified elsewhere
icd10,N75,Diseases of Bartholin gland
icd10,N76,Other inflammation of vagina and vulva
icd10,N77,Vulvovaginal ulceration and inflammation in diseases classified elsewhere
icd10,N80,Endometriosis
icd10,N81,Female genital prolapse
icd10,N82,Fistulae involving female genital tract
icd10,N83,"Noninflammatory disorders of ovary, fallopian tube and broad ligament"
icd10,N84,Polyp of female genital tract
icd10,N85,"Other noninflammatory disorders of uterus, except cervix"
icd10,N86,Erosion and ectropion of cervix uteri
icd10,N87,Dysplasia of cervix uteri
icd10,N88,Other noninflammatory disorders of cervix uteri
icd10,N89,Other noninflammatory disorders of vagina
icd10,N90,Other noninflammatory disorders of vulva and perineum
icd10,N91,"Absent, scanty and rare menstruation"
icd10,N92,"Excessive, frequent and irregular menstruation"
icd10,N93,Other abnormal uterine and vaginal bleeding
icd10,N94,Pain and other conditions associated with female genital organs and menstrual cycle
icd10,N95,Menopausal and other perimenopausal disorders
icd10,N96,Habitual aborter
icd10,N97,Female infertility
icd10,N98,Complications associated with artificial fertilization
icd10,N99,"Postprocedural disorders of genitourinary system, not elsewhere classified"
icd10,O00,Ectopic pregnancy
icd10,O01,Hydatidiform mole
icd10,O02,Other abnormal products of conception
icd10,O03,Spontaneous abortion
icd10,O04,Medical abortion
icd10,O05,Other abortion
icd10,O06,Unspecified abortion
icd10,O07,Failed attempted abortion
icd10,O08,Complications following abortion and ectopic and molar pregnancy
icd10,O10,"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium"
icd10,O11,Pre-eclampsia superimposed on chronic hypertension
icd10,O12,Gestational [pregnancy-induced] oedema and proteinuria without hypertension
icd10,O13,Gestational [pregnancy-induced] hypertension
icd10,O14,Pre-eclampsia
icd10,O15,Eclampsia
icd10,O16,Unspecified maternal hypertension
icd10,O20,Haemorrhage in early pregnancy
icd10,O21,Excessive vomiting in pregnancy
icd10,O22,Venous complications and haemorrhoids in pregnancy
icd10,O23,Infections of genitourinary tract in pregnancy
icd10,O24,Diabetes mellitus in pregnancy
icd10,O25,Malnutrition in pregnancy
icd10,O26,Maternal care for other conditions predominantly related to pregnancy
icd10,O28,Abnormal findings on antenatal screening of mother
icd10,O29,Complications of anaesthesia during pregnancy
icd10,O30,Multiple gestation
icd10,O31,Complications specific to multiple gestation
icd10,O32,Maternal care for known or suspected malpresentation of fetus
icd10,O33,Maternal care for known or suspected disproportion
icd10,O34,Maternal care for known or suspected abnormality of pelvic organs
icd10,O35,Maternal care for known or suspected fetal abnormality and damage
icd10,O36,Maternal care for other known or suspected fetal problems
icd10,O40,Polyhydramnios
icd10,O41,Other disorders of amniotic fluid and membranes
icd10,O42,Premature rupture of membranes
icd10,O43,Placental disorders
icd10,O44,Placenta praevia
icd10,O45,Premature separation of placenta [abruptio placentae]
icd10,O46,"Antepartum haemorrhage, not elsewhere classified"
icd10,O47,False labour
icd10,O48,Prolonged pregnancy
icd10,O60,Preterm labour and delivery
icd10,O61,Failed induction of labour
icd10,O62,Abnormalities of forces of labour
icd10,O63,Long labour
icd10,O64,Obstructed labour due to malposition and malpresentation of fetus
icd10,O65,Obstructed labour due to maternal pelvic abnormality
icd10,O66,Other obstructed labour
icd10,O67,"Labour and delivery complicated by intrapartum haemorrhage, not elsewhere classified"
icd10,O68,Labour and delivery complicated by fetal stress [distress]
icd10,O69,Labour and delivery complicated by umbilical cord complications
icd10,O70,Perineal laceration during delivery
icd10,O71,Other obstetric trauma
icd10,O72,Postpartum haemorrhage
icd10,O73,"Retained placenta and membranes, without haemorrhage"
icd10,O74,Complications of anaesthesia during labour and delivery
icd10,O75,"Other complications of labour and delivery, not elsewhere classified"
icd10,O80,Single spontaneous delivery
icd10,O81,Single delivery by forceps and vacuum extractor
icd10,O82,Single delivery by caesarean section
icd10,O83,Other assisted single delivery
icd10,O84,Multiple delivery
icd10,O85,Puerperal sepsis
icd10,O86,Other puerperal infections
icd10,O87,Venous complications and haemorrhoids in the puerperium
icd10,O88,Obstetric embolism
icd10,O89,Complications of anaesthesia during the puerperium
icd10,O90,"Complications of the puerperium, not elsewhere classified"
icd10,O91,Infections of breast associated with childbirth
icd10,O92,Other disorders of breast and lactation associated with childbirth
icd10,O94,"Sequelae of complication of pregnancy, childbirth and the puerperium"
icd10,O95,Obstetric death of unspecified cause
icd10,O96,Death from any obstetric cause occurring more than 42 days but less than one year after delivery
icd10,O97,Death from sequelae of obstetric causes
icd10,O98,"Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium"
icd10,O99,"Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium"
icd10,P00,Fetus and newborn affected by maternal conditions that may be unrelated to present pregnancy
icd10,P01,Fetus and newborn affected by maternal complications of pregnancy
icd10,P02,"Fetus and newborn affected by complications of placenta, cord and membranes"
icd10,P03,Fetus and newborn affected by other complications of labour and delivery
icd10,P04,Fetus and newborn affected by noxious influences transmitted via placenta or breast milk
icd10,P05,Slow fetal growth and fetal malnutrition
icd10,P07,"Disorders related to short gestation and low birth weight, not elsewhere classified"
icd10,P08,Disorders related to long gestation and high birth weight
icd10,P10,Intracranial laceration and haemorrhage due to birth injury
icd10,P11,Other birth injuries to central nervous system
icd10,P12,Birth injury to scalp
icd10,P13,Birth injury to skeleton
icd10,P14,Birth injury to peripheral nervous system
icd10,P15,Other birth injuries
icd10,P20,Intrauterine hypoxia
icd10,P21,Birth asphyxia
icd10,P22,Respiratory distress of newborn
icd10,P23,Congenital pneumonia
icd10,P24,Neonatal aspiration syndromes
icd10,P25,Interstitial emphysema and related conditions originating in the perinatal period
icd10,P26,Pulmonary haemorrhage originating in the perinatal period
icd10,P27,Chronic respiratory disease originating in the perinatal period
icd10,P28,Other respiratory conditions originating in the perinatal period
icd10,P29,Cardiovascular disorders originating in the perinatal period
icd10,P35,Congenital viral diseases
icd10,P36,Bacterial sepsis of newborn
icd10,P37,Other congenital infectious and parasitic diseases
icd10,P38,Omphalitis of newborn with or without mild haemorrhage
icd10,P39,Other infections specific to the perinatal period
icd10,P50,Fetal blood loss
icd10,P51,Umbilical haemorrhage of newborn
icd10,P52,Intracranial nontraumatic haemorrhage of fetus and newborn
icd10,P53,Haemorrhagic disease of fetus and newborn
icd10,P54,Other neonatal haemorrhages
icd10,P55,Haemolytic disease of fetus and newborn
icd10,P56,Hydrops fetalis due to haemolytic disease
icd10,P57,Kernicterus
icd10,P58,Neonatal jaundice due to other excessive haemolysis
icd10,P59,Neonatal jaundice from other and unspecified causes
icd10,P60,Disseminated intravascular coagulation of fetus and newborn
icd10,P61,Other perinatal haematological disorders
icd10,P70,Transitory disorders of carbohydrate metabolism specific to fetus and newborn
icd10,P71,Transitory neonatal disorders of calcium and magnesium metabolism
icd10,P72,Other transitory neonatal endocrine disorders
icd10,P74,Other transitory neonatal electrolyte and metabolic disturbances
icd10,P75,Meconium ileus in cystic fibrosis
icd10,P76,Other intestinal obstruction of newborn
icd10,P77,Necrotizing enterocolitis of fetus and newborn
icd10,P78,Other perinatal digestive system disorders
icd10,P80,Hypothermia of newborn
icd10,P81,Other disturbances of temperature regulation of newborn
icd10,P83,Other conditions of integument specific to fetus and newborn
icd10,P90,Convulsions of newborn
icd10,P91,Other disturbances of cerebral status of newborn
icd10,P92,Feeding problems of newborn
icd10,P93,Reactions and intoxications due to drugs administered to fetus and newborn
icd10,P94,Disorders of muscle tone of newborn
icd10,P95,Fetal death of unspecified cause
icd10,P96,Other conditions originating in the perinatal period
icd10,Q00,Anencephaly and similar malformations
icd10,Q01,Encephalocele
icd10,Q02,Microcephaly
icd10,Q03,Congenital hydrocephalus
icd10,Q04,Other congenital malformations of brain
icd10,Q05,Spina bifida
icd10,Q06,Other congenital malformations of spinal cord
icd10,Q07,Other congenital malformations of nervous system
icd10,Q10,"Congenital malformations of eyelid, lacrimal apparatus and orbit"
icd10,Q11,"Anophthalmos, microphthalmos and macrophthalmos"
icd10,Q12,Congenital lens malformations
icd10,Q13,Congenital malformations of anterior segment of eye
icd10,Q14,Congenital malformations of posterior segment of eye
icd10,Q15,Other congenital malformations of eye
icd10,Q16,Congenital malformations of ear causing impairment of hearing
icd10,Q17,Other congenital malformations of ear
icd10,Q18,Other congenital malformations of face and neck
icd10,Q20,Congenital malformations of cardiac chambers and connections
icd10,Q21,Congenital malformations of cardiac septa
icd10,Q22,Congenital malformations of pulmonary and tricuspid valves
icd10,Q23,Congenital malformations of aortic and mitral valves
icd10,Q24,Other congenital malformations of heart
icd10,Q25,Congenital malformations of great arteries
icd10,Q26,Congenital malformations of great veins
icd10,Q27,Other congenital malformations of peripheral vascular system
icd10,Q28,Other congenital malformations of circulatory system
icd10,Q30,Congenital malformations of nose
icd10,Q31,Congenital malformations of larynx
icd10,Q32,Congenital malformations of trachea and bronchus
icd10,Q33,Congenital malformations of lung
icd10,Q34,Other congenital malformations of respiratory system
icd10,Q35,Cleft palate
icd10,Q36,Cleft lip
icd10,Q37,Cleft palate with cleft lip
icd10,Q38,"Other congenital malformations of tongue, mouth and pharynx"
icd10,Q39,Congenital malformations of oesophagus
icd10,Q40,Other congenital malformations of upper alimentary tract
